,title,publisher,img,release_date,critic_score,console
107,A Valley Without Wind,"Arcen Games, LLC",/games/boxart/full_913947AmericaFrontccc.jpg,2012-04-24,6.8,PC
108,A Vampyre Story,The Adventure Company,/games/boxart/full_4992356AmericaFrontccc.jpg,2008-12-02,7.5,PC
109,A Virus Named TOM,Misfits Attic,/games/boxart/full_1548388PALFrontccc.png,2012-08-01,7.0,PC
110,A Way Out,Electronic Arts,/games/boxart/full_9675419AmericaFrontccc.jpg,2018-03-23,7.8,"PS4, PC, XOne"
112,A-Men,Bloober Team,/games/boxart/full_3608355AmericaFrontccc.jpg,2014-01-25,6.7,PC
116,A-Train HX,505 Games,/games/boxart/full_8680781PALFrontccc.jpg,2008-03-07,2.0,X360
120,A.R.E.S. Extinction Agenda,Extend Studio,/games/boxart/full_ares-extinction-agenda_660AmericaFront.jpg,2010-12-14,6.8,PC
121,A.R.E.S. Extinction Agenda EX,ORiGO Games,/games/boxart/full_2558316AmericaFrontccc.jpg,2014-10-03,6.6,PC
123,ABZU,505 Games,/games/boxart/full_8381592AmericaFrontccc.jpg,2016-08-02,7.8,"PC, PS4, XOne, NS"
125,AC/DC LIVE: Rock Band Track Pack,MTV Games,/games/boxart/full_346556AmericaFrontccc.jpg,2008-11-16,6.7,"X360, PS3"
129,ACA NEOGEO ALPHA MISSION II,Hamster Corporation,/games/boxart/full_7854812AmericaFrontccc.png,2017-01-10,6.4,"PS4, NS, XOne"
140,ACA NEOGEO FATAL FURY SPECIAL,Hamster Corporation,/games/boxart/full_9432115AmericaFrontccc.png,2017-07-13,6.3,"PS4, XOne, NS"
143,ACA NEOGEO GAROU: MARK OF THE WOLVES,Hamster Corporation,/games/boxart/full_6124540AmericaFrontccc.png,2017-05-11,7.7,NS
148,ACA NEOGEO LAST RESORT,Hamster Corporation,/games/boxart/full_4902736AmericaFrontccc.jpg,2017-05-02,7.4,"XOne, PS4, NS"
154,ACA NEOGEO METAL SLUG 2,Hamster Corporation,/games/boxart/full_12655AmericaFrontccc.png,2017-06-01,7.6,"PS4, XOne, NS"
155,ACA NEOGEO METAL SLUG 3,Hamster Corporation,/games/boxart/full_148363AmericaFrontccc.png,2017-03-03,7.6,"NS, XOne, PS4"
156,ACA NEOGEO METAL SLUG X,Hamster Corporation,/games/boxart/full_4120810AmericaFrontccc.jpg,2017-10-05,8.5,"XOne, NS, PS4"
160,ACA NEOGEO NEO TURF MASTERS,Hamster Corporation,/games/boxart/full_8199648AmericaFrontccc.jpg,2017-02-23,7.4,"XOne, PS4, NS"
172,ACA NEOGEO SAMURAI SHODOWN,Hamster Corporation,/games/boxart/full_8898089AmericaFrontccc.png,2016-12-09,8.1,"PS4, XOne, NS"
173,ACA NEOGEO SAMURAI SHODOWN II,Hamster Corporation,/games/boxart/full_9071525AmericaFrontccc.jpg,2017-09-21,7.2,"XOne, PS4, NS"
174,ACA NEOGEO SAMURAI SHODOWN III,Hamster Corporation,/games/boxart/full_898332AmericaFrontccc.jpg,2018-02-01,8.1,"XOne, NS, PS4"
175,ACA NEOGEO SAMURAI SHODOWN IV,Hamster Corporation,/games/boxart/full_6141094AmericaFrontccc.png,2017-04-13,8.1,"NS, XOne, PS4"
176,ACA NEOGEO SAMURAI SHODOWN V,Hamster Corporation,/games/boxart/full_904752AmericaFrontccc.png,2018-07-05,8.1,"NS, XOne"
