,title,publisher,img,release_date,critic_score,console
2113,Dread Hunger,Digital Confectioners,/games/boxart/full_2769144AmericaFrontccc.jpg,2022-01-26,7.5,PC
2115,Dream C Club Zero,D3 Publisher,/games/boxart/full_dream-c-club-zero_355JapanFront.jpg,2011-01-27,5.7,"X360, PS3"
2119,Dream Pinball 3D,SouthPeak Interactive,/games/boxart/full_5293986AmericaFrontccc.jpg,2008-02-12,5.4,PC
2121,Dreamcast Collection,Sega,/games/boxart/full_dreamcast-collection_172PALFront.jpg,2011-02-22,5.3,"PC, X360"
2122,Dreamfall Chapters,Unknown,/games/boxart/full_5437506AmericaFrontccc.jpg,2014-11-01,6.7,PC
2123,Dreamkiller,Aspyr,/games/boxart/full_715443AmericaFrontccc.jpg,2009-10-12,4.6,PC
2126,Dreams,Sony Interactive Entertainment,/games/boxart/full_6698436AmericaFrontccc.jpg,2020-02-14,8.9,PS4
2130,Driveclub,Sony Computer Entertainment,/games/boxart/full_8788232AmericaFrontccc.jpg,2014-10-07,7.2,PS4
2131,Driveclub Bikes,Sony Computer Entertainment,/games/boxart/full_7296968AmericaFrontccc.jpg,2015-10-27,7.9,PS4
2132,Driveclub VR,Sony Interactive Entertainment,/games/boxart/full_4987141AmericaFrontccc.jpg,2016-10-13,6.6,PS4
2133,Driver: San Francisco,Ubisoft,/games/boxart/full_driver-san-francisco_960AmericaFront.jpg,2011-09-06,8.2,"PS3, X360, PC"
2134,Driving Simulator,Excalibur Publishing,/games/boxart/full_driving-simulator_598PALFront.jpg,2010-02-26,7.4,PC
2137,Droplitz,Atlus,/games/boxart/default.jpg,2009-06-30,7.4,PC
2138,Drox Operative,Soldak Entertainment,/games/boxart/default.jpg,2012-11-29,7.4,PC
2140,DuckTales: Remastered,Capcom,/games/boxart/full_8736542AmericaFrontccc.jpg,2013-08-13,8.6,"PC, PS3, X360"
2142,Duke Nukem 3D: 20th Anniversary World Tour,Gearbox Software,/games/boxart/full_3755202AmericaFrontccc.jpg,2016-10-11,7.7,"PC, PS4, XOne, NS"
2143,Duke Nukem Forever,2K Games,/games/boxart/full_duke-nukem-forever_761AmericaFront.jpg,2011-06-14,4.4,"X360, PC, PS3"
2145,Dungeon Defenders,Trendy Entertainment,/games/boxart/full_dungeon-defenders_987AmericaFront.jpg,2011-10-19,8.3,PC
2146,Dungeon Defenders Eternity,Trendy Entertainment,/games/boxart/full_2764663AmericaFrontccc.jpg,2014-07-22,7.7,PC
2147,Dungeon Defenders II,Trendy Entertainment,/games/boxart/full_2396932AmericaFrontccc.jpg,2014-07-01,7.7,"PC, PS4"
2148,Dungeon Fighter Online,Nexon America,/games/boxart/full_8977805AmericaFrontccc.jpg,2009-09-22,7.8,PC
2150,Dungeon Siege III,Square Enix,/games/boxart/full_dungeon-siege-iii_163AmericaFront.jpg,2011-06-21,7.3,"PC, X360, PS3"
2151,Dungeon Siege III: Treasures of the Sun,Square Enix,/games/boxart/full_dungeon-siege-iii-treasures-of-the-sun_546AmericaFront.jpg,2011-10-25,8.1,"X360, PS3, PC"
2152,Dungeon Souls,Black Shell Media,/games/boxart/full_1380682AmericaFrontccc.jpg,2016-12-02,6.7,PC
2153,Dungeon of the Endless,OnLine Studio Productions LLC,/games/boxart/full_4131391AmericaFrontccc.jpg,2013-12-11,7.9,"PC, XOne, NS, PS4"
2154,Dungeonland,Paradox Interactive,/games/boxart/default.jpg,2013-01-29,6.7,PC
2155,Dungeons,Kalypso,/games/boxart/full_dungeons_5AmericaFront.jpg,2011-02-10,6.5,PC
2157,Dungeons & Dragons: Chronicles of Mystara,Capcom,/games/boxart/full_5581146AmericaFrontccc.jpg,2013-06-18,7.7,PS3
2158,Dungeons & Dragons: Daggerdale,Atari,/games/boxart/full_dungeons-ampamp-dragons-daggerdale_628AmericaFront.jpg,2011-05-25,6.0,"PC, PC"
2159,Dungeons & Dragons: Dark Alliance,Tuque Games,/games/boxart/full_7579050AmericaFrontccc.png,2020-12-01,5.3,PC
2164,Dungeons 2,Kalypso Media,/games/boxart/full_4215233AmericaFrontccc.jpg,2015-04-24,7.0,"PC, PS4"
2165,Dungeons 3,Kalypso Media,/games/boxart/full_9826035AmericaFrontccc.png,2017-10-13,7.5,"PC, XOne, PS4"
2166,Dungeons of Dredmor,Unknown,/games/boxart/full_dungeons-of-dredmor_54AmericaFront.jpg,2011-07-13,8.0,PC
2173,Dusk Diver,JFI Games,/games/boxart/full_8042967AmericaFrontccc.jpg,2019-12-01,6.0,"NS, PC"
2174,Dust: An Elysian Tail,Microsoft Studios,/games/boxart/full_4067616AmericaFrontccc.jpg,2013-05-24,8.3,"PC, PS4, NS"
2175,Dustborn,Red Thread Games,/games/boxart/full_4944209AmericaFrontccc.jpg,2021-12-01,6.8,"XS, PC, PS5"
2176,Dustforce DX,Hitbox Team,/games/boxart/full_4322901AmericaFrontccc.jpg,2012-01-17,7.9,PC
2177,Dustoff Heli Rescue 2,Rainy Frog,/games/boxart/full_4077304AmericaFrontccc.png,2018-01-25,6.4,NS
2179,Dwarf Fortress,Kitfox Games,/games/boxart/full_8237381AmericaFrontccc.jpg,2020-12-08,9.3,PC
2180,Dwarfs!?,Tripwire Interactive,/games/boxart/full_dwarfs_808AmericaFront.gif,2011-05-04,8.3,PC
2181,Dying Light,Warner Bros. Interactive Entertainment,/games/boxart/default.jpg,2015-01-27,7.6,"PS3, X360, PS4, XOne, PC"
2182,Dying Light 2 Stay Human,Techland,/games/boxart/full_7965603AmericaFrontccc.jpeg,2020-12-01,7.6,"PC, PS4, XOne, PS5, XS"
2183,Dynasty Warriors 6,KOEI,/games/boxart/7514218ccc.jpg,2008-02-19,6.2,"X360, PS3, PC"
2184,Dynasty Warriors 6 Empires,KOEI,/games/boxart/full_1881898AmericaFrontccc.jpg,2009-06-23,6.4,"PS3, X360"
2185,Dynasty Warriors 7,Tecmo Koei,/games/boxart/full_dynasty-warriors-7_713AmericaFront.jpg,2011-03-22,5.8,"X360, PS3"
2188,Dynasty Warriors 8,Tecmo Koei,/games/boxart/full_2563360PALFrontccc.jpg,2013-07-16,6.9,PS3
2189,Dynasty Warriors 8: Empires,Tecmo Koei,/games/boxart/full_8249559AmericaFrontccc.jpg,2013-07-16,6.3,"X360, XOne, PS4, PC, PS3, NS"
2190,Dynasty Warriors 8: Xtreme Legends,Tecmo Koei,/games/boxart/full_7277914PALFrontccc.jpg,2014-03-25,6.9,"PS4, PS3"
2191,Dynasty Warriors 9,Tecmo Koei,/games/boxart/full_5908669AmericaFrontccc.jpg,2018-02-13,6.1,"PC, XOne, PS4"
2192,Dynasty Warriors Gundam Reborn,Namco Bandai Games,/games/boxart/full_8272639AmericaFrontccc.jpg,2014-07-01,6.4,PS3
2194,Dynasty Warriors: Godseekers,Tecmo Koei,/games/boxart/full_5632452JapanFrontccc.jpg,2017-01-31,7.0,PS4
2195,Dynasty Warriors: Gundam 2,Namco Bandai,/games/boxart/full_4728046AmericaFrontccc.jpg,2009-04-21,5.8,"X360, PS3"
2196,Dynasty Warriors: Gundam 3,Tecmo Koei,/games/boxart/full_dynasty-warriors-gundam-3_312AmericaFront.jpg,2011-06-28,6.5,"PS3, X360"
2197,Dynasty Warriors: Strikeforce,Tecmo Koei,/games/boxart/full_8806512AmericaFrontccc.jpg,2010-02-16,7.0,"X360, PS3"
2198,Dyscourse,Owlchemy Labs,/games/boxart/default.jpg,2015-03-25,7.1,PC
2201,E.Y.E.: Divine Cybermancy,Unknown,/games/boxart/full_eye-divine-cybermancy_842AmericaFront.jpg,2011-07-29,6.1,PC
2202,E.Y.E: Divine Cybermancy,Unknown,/games/boxart/default.jpg,2011-07-29,6.1,PC
2203,EA Sports Active 2,Electronic Arts,/games/boxart/full_ea-sports-active-2_3AmericaFront.jpg,2010-11-16,7.2,"PS3, X360"
2204,EA Sports MMA,EA Sports,/games/boxart/full_ea-sports-mma_0AmericaFront.jpg,2010-10-19,7.6,"X360, PS3"
2205,EA Sports PGA Tour,EA Sports,/games/boxart/default.jpg,2015-07-01,7.6,"PS4, XOne"
2206,EA Sports UFC,Electronic Arts,/games/boxart/full_576837AmericaFrontccc.jpg,2014-06-17,7.8,"XOne, PS4"
2207,EA Sports UFC 2,EA Sports,/games/boxart/full_7878732AmericaFrontccc.png,2016-03-15,7.6,"PS4, XOne"
2208,EA Sports UFC 3,EA Sports,/games/boxart/full_4340342AmericaFrontccc.jpg,2018-02-02,7.5,"PS4, XOne"
2209,EA Sports UFC 4,EA Sports,/games/boxart/full_9640992PALFrontccc.jpg,2020-08-14,7.8,"PS4, XOne"
2211,EPOCH.,Raw Fury,/games/boxart/default.jpg,2014-06-05,7.7,PC
2216,EVE: Valkyrie,CCP,/games/boxart/full_7284617AmericaFrontccc.jpg,2016-03-28,7.1,"PC, PS4"
2217,Eador: Masters of the Broken World,Snowbird Games,/games/boxart/full_495217AmericaFrontccc.jpg,2013-04-19,7.4,PC
2218,Eagle Flight,Ubisoft,/games/boxart/full_9728922AmericaFrontccc.jpg,2016-11-08,7.3,PS4
2219,Earth Atlantis,Headup Games,/games/boxart/full_174520AmericaFrontccc.png,2017-10-05,7.1,NS
2220,Earth Defense Force 2025,D3Publisher,/games/boxart/full_2720139AmericaFrontccc.jpg,2014-02-18,6.9,"X360, PS3"
2221,Earth Defense Force 4.1: The Shadow of New Despair,Xseed Games,/games/boxart/full_8175467AmericaFrontccc.jpg,2015-12-08,6.4,"PS4, PS4, PC"
2222,Earth Defense Force 5,D3 Publisher,/games/boxart/full_7280227JapanFrontccc.png,2018-12-11,7.2,"PS4, PC"
2223,Earth Defense Force: Insect Armageddon,D3 Publisher,/games/boxart/full_earth-defense-force-insect-armageddon_665AmericaFront.jpg,2011-07-05,6.6,"PS3, X360"
2224,Earth Defense Force: Iron Rain,D3 Publisher,/games/boxart/full_3179595JapanFrontccc.jpg,2019-04-11,6.9,"PS4, PC"
2225,Earth Defense Force: World Brothers,D3 Publisher,/games/boxart/full_7930486AmericaFrontccc.jpg,2020-12-01,7.5,"PS4, NS"
2226,Earth Wars,One or Eight Inc.,/games/boxart/full_5408040AmericaFrontccc.png,2018-01-25,7.8,NS
2227,Earth's Dawn,Rising Star Games,/games/boxart/full_5320357AmericaFrontccc.jpg,2016-11-01,6.8,PS4
2228,EarthNight,cleaversoft,/games/boxart/full_6376233AmericaFrontccc.jpg,2015-01-01,7.0,"PS4, PC"
2229,Earthfall,Gearbox Software,/games/boxart/full_753382AmericaFrontccc.jpg,2018-07-13,5.6,"PS4, XOne, PC"
2230,Earthlock,Snowcastle Games,/games/boxart/full_8424329AmericaFrontccc.png,2018-03-08,7.3,NS
2231,East India Company,Paradox Interactive,/games/boxart/default.jpg,2009-07-31,7.4,PC
2232,East India Company Collection,Paradox Interactive,/games/boxart/full_east-india-company-collection_475AmericaFront.jpg,2010-05-05,6.7,PC
2234,East India Company: Privateer,Paradox Interactive,/games/boxart/default.jpg,2009-10-27,6.3,PC
2236,Eastward,Chucklefish,/games/boxart/full_843596AmericaFrontccc.png,2020-12-30,8.2,"NS, PC"
2237,Eat Lead: The Return of Matt Hazard,D3 Publisher,/games/boxart/full_7328455AmericaFrontccc.jpg,2009-02-26,5.4,"X360, PS3"
2241,Echo Generation,Cococucumber,/games/boxart/full_8840580AmericaFrontccc.jpg,2021-12-01,7.0,"PC, XS, XOne"
2244,Echoes+,Unknown,/games/boxart/full_8720573AmericaFrontccc.jpg,2015-01-16,4.6,PC
2248,Eden*,MangaGamer,/games/boxart/full_6752087AmericaFrontccc.jpg,2015-01-30,8.1,PC
2250,Edge of Nowhere,Oculus Studios,/games/boxart/full_9672850AmericaFrontccc.jpg,2016-06-06,7.1,PC
2252,Edna & Harvey: Harvey's New Eyes,Rondomedia,/games/boxart/full_edna-ampamp-harvey-harveys-new-eyes_655PALFront.jpg,2011-08-26,7.5,PC
2253,Edna & Harvey: The Breakout,Daedalic Entertainment,/games/boxart/full_1995048PALFrontccc.jpg,2013-10-25,6.8,PC
2254,Eidolon,Ice Water Games,/games/boxart/full_9145231AmericaFrontccc.jpg,2014-08-01,6.4,PC
2261,Eiyuu Senki: The World Conquest,Tenco,/games/boxart/full_5730053JapanFrontccc.jpg,2012-03-30,6.9,"PC, PS3"
2264,El Shaddai: Ascension of the Metatron,Ignition Entertainment,/games/boxart/full_el-shaddai-ascension-of-the-metatron_936AmericaFront.jpg,2011-08-16,8.0,"X360, PS3"
2265,Elden Ring,Bandai Namco Entertainment,/games/boxart/full_5081355AmericaFrontccc.jpg,2022-02-25,9.6,"XOne, PC, PS4, XS, PS5"
2266,Elemental: War of Magic,Stardock,/games/boxart/full_elemental-war-of-magic_929AmericaFront.jpg,2010-08-24,5.3,PC
2268,Elements of Destruction,THQ,/games/boxart/full_6101763AmericaFrontccc.jpg,2008-07-01,6.5,PC
2269,Eleusis,Unknown,/games/boxart/default.jpg,2013-10-16,4.9,PC
2270,Elex,THQ Nordic,/games/boxart/full_4460364AmericaFrontccc.jpg,2017-10-17,6.7,"XOne, PC, PS4"
2272,Elite: Dangerous,Frontier Developments,/games/boxart/full_3234567AmericaFrontccc.jpg,2014-12-16,8.0,"PC, XOne, PS4"
2276,Elliot Quest,PlayEveryWare Games,/games/boxart/full_5478887AmericaFrontccc.png,2017-10-19,7.6,NS
2278,Elven Legacy,Paradox Interactive,/games/boxart/full_1836851AmericaFrontccc.jpg,2009-04-07,7.1,PC
2281,Elven Legacy: Ranger,Paradox Interactive,/games/boxart/full_elven-legacy-ranger_9AmericaFront.jpg,2009-10-20,6.8,PC
2284,Embers of Mirrim,Creative Bytes Studios,/games/boxart/full_8401529AmericaFrontccc.png,2017-12-07,7.6,NS
2285,Emerald City Confidential,PlayFirst,/games/boxart/full_emerald-city-confidential_23AmericaFront.jpg,2009-02-19,7.1,PC
2286,Emergency 2012,THQ,/games/boxart/full_emergency-2012_241AmericaFront.jpg,2011-01-05,7.6,PC
2288,Emergency 5,Deep Silver,/games/boxart/full_8094182AmericaFrontccc.jpg,2015-01-01,5.4,PC
2291,Emily is Away,Kyle Seeley,/games/boxart/full_1124178AmericaFrontccc.jpg,2015-11-20,8.1,PC
2293,Emily is Away Too,Kyle Seeley,/games/boxart/full_9155048AmericaFrontccc.jpg,2017-05-26,8.1,PC
2295,Empire: Total War,Sega,/games/boxart/full_9249301AmericaFrontccc.jpg,2009-03-03,8.9,PC
2302,Ender Lilies: Quietus of the Knights,Binary Haze Interactive,/games/boxart/full_2095540AmericaFrontccc.jpg,2021-06-21,8.6,"PC, NS, XS, XOne, PS5, PS4"
2303,Endless Legend,Iceberg Interactive,/games/boxart/full_1086596AmericaFrontccc.png,2014-09-18,8.2,PC
2304,Endless Space,Iceberg Interactive,/games/boxart/full_5964190PALFrontccc.jpg,2012-08-24,7.7,PC
2305,Endless Space 2,Sega,/games/boxart/full_3161903PALFrontccc.jpg,2017-05-18,8.0,PC
2306,Enemy Front,City Interactive,/games/boxart/full_1018206AmericaFrontccc.jpg,2014-06-10,5.2,"PC, PS3, X360"
2307,Enemy Territory: Quake Wars,Activision,/games/boxart/4365874ccc.jpg,2008-05-27,6.7,"PS3, X360"
2311,Enigmatis 2: The Mists Of Ravenwood,Artifex Mundi sp. z o.o.,/games/boxart/default.jpg,2017-05-30,8.1,"PS4, NS"
2312,Enigmatis 2: The Mists of Ravenwood,Artifex Mundi sp. z o.o.,/games/boxart/default.jpg,2013-09-25,8.1,PC
2313,Enigmatis 3: The Shadow Of Karkhala,GSP,/games/boxart/full_4023261AmericaFrontccc.jpg,2017-06-30,7.4,"PC, PS4"
2314,Enigmatis: The Ghosts Of Maple Creek,Artifex Mundi sp. z o.o.,/games/boxart/full_7773088AmericaFrontccc.jpg,2017-01-24,6.6,PS4
2315,Enslaved: Odyssey to the West,Namco Bandai,/games/boxart/full_enslaved-odyssey-to-the-west_5AmericaFront.jpg,2010-10-05,8.0,"X360, PS3, PC"
2317,Enter the Gungeon,Devolver Digital,/games/boxart/full_9075445AmericaFrontccc.jpg,2016-01-01,8.2,"PC, PS4, NS"
2318,Entwined,Sony Computer Entertainment,/games/boxart/full_2159484AmericaFrontccc.jpg,2014-06-09,5.9,"PS4, PS3"
2323,Equilibrio,DK Games,/games/boxart/full_2077131AmericaFrontccc.jpg,2009-10-14,5.9,PC
2324,Erica,Sony Interactive Entertainment,/games/boxart/full_2608096AmericaFrontccc.jpg,2019-08-19,6.9,PS4
2325,Escape Dead Island,Deep Silver,/games/boxart/full_1731031AmericaFrontccc.jpg,2014-11-18,4.0,"PC, PS3, X360"
2326,Escape From Paradise,DreamCatcher Interactive,/games/boxart/7827002ccc.jpg,2008-03-26,6.2,PC
2327,Escape Goat 2,Double Fine Productions,/games/boxart/default.jpg,2014-03-24,7.6,PC
2328,Escape Plan,Sony Computer Entertainment,/games/boxart/full_5976070AmericaFrontccc.jpg,2013-12-03,4.9,PS4
2330,Escape Simulator,Pine Studio,/games/boxart/full_2703038AmericaFrontccc.jpg,2021-10-19,8.2,PC
2336,Eschalon: Book II,Unknown,/games/boxart/default.jpg,2010-05-12,6.7,PC
2337,Eschatos,Qute,/games/boxart/full_eschatos_621JapanFront.jpg,2011-04-07,8.6,X360
2342,Eternal Sonata,Namco Bandai,/games/boxart/full_5168648AmericaFrontccc.jpg,2008-10-21,8.3,PS3
2343,Ether One,White Paper Games,/games/boxart/full_7278332PALFrontccc.jpg,2014-03-25,8.2,"PC, PS4"
2345,Etherium,Focus Home Interactive,/games/boxart/default.jpg,2014-07-01,6.2,PC
2346,Eufloria,Rudolf Kremers,/games/boxart/full_1283388AmericaFrontccc.jpg,2008-11-04,7.3,PC
2349,Euro Truck Simulator,SCS Software,/games/boxart/full_euro-truck-simulator_342PALFront.jpg,2013-03-08,7.9,PC
2350,Euro Truck Simulator 2,SCS Software,/games/boxart/full_7497790PALFrontccc.jpg,2013-01-16,8.5,PC
2351,Euro Truck Simulator 2: Scandinavia,SCS Software,/games/boxart/full_1512553PALFrontccc.jpg,2015-05-08,7.9,PC
2353,Europa Universalis III Complete,Paradox Interactive,/games/boxart/full_europa-universalis-iii-complete_17AmericaFront.jpg,2008-10-28,8.3,PC
2354,Europa Universalis III: Chronicles,Paradox Interactive,/games/boxart/full_europa-universalis-iii-chronicles_604AmericaFront.jpg,2011-03-22,8.3,PC
2355,Europa Universalis III: Divine Wind,Paradox Interactive,/games/boxart/full_europa-universalis-iii-divine-wind_872AmericaFront.jpg,2010-12-14,7.1,PC
2356,Europa Universalis III: Heir to the Throne,Paradox Interactive,/games/boxart/full_europa-universalis-iii-heir-to-the-throne_407AmericaFront.jpg,2009-12-15,8.5,PC
2357,Europa Universalis III: In Nomine,Paradox Interactive,/games/boxart/full_9703897AmericaFrontccc.jpg,2008-05-28,8.3,PC
2358,Europa Universalis IV,Paradox Interactive,/games/boxart/full_8210643AmericaFrontccc.jpg,2014-03-06,8.7,PC
2359,Europa Universalis: Rome,Paradox Interactive,/games/boxart/full_europa-universalis-rome_63AmericaFront.jpg,2008-04-15,7.9,PC
2360,Europa Universalis: Rome - Vae Victis,Paradox Interactive,/games/boxart/full_europa-universalis-rome-vae-victis_816AmericaFront.jpg,2008-11-19,7.9,PC
2367,EverQuest II: The Shadow Odyssey,Sony Online Entertainment,/games/boxart/full_2538565AmericaFrontccc.jpg,2008-11-17,7.8,PC
2371,Everlight of Magic & Power,DreamCatcher Interactive,/games/boxart/full_2612518AmericaFrontccc.jpg,2008-10-07,6.3,PC
2374,Everspace,Badland Games,/games/boxart/full_3275253AmericaFrontccc.jpg,2018-11-27,7.9,"PS4, NS"
2375,Everspace 2,Rockfish Games,/games/boxart/full_2267038AmericaFrontccc.jpg,2023-04-06,8.1,PC
2377,Everybody Dance,Sony Computer Entertainment,/games/boxart/full_1693355AmericaFrontccc.jpg,2011-10-18,6.5,PS3
2378,Everybody's Golf,Sony Interactive Entertainment,/games/boxart/full_3012AmericaFrontccc.jpg,2017-08-29,8.1,PS4
2379,Everybody's Golf VR,Sony Computer Entertainment,/games/boxart/full_8667353AmericaFrontccc.jpg,2019-05-21,7.4,PS4
2380,Everybody's Gone to the Rapture,Sony Computer Entertainment,/games/boxart/full_7181904AmericaFrontccc.jpg,2015-08-11,7.8,PS4
2382,Everyday Shooter,Queasy Games,/games/boxart/full_1909962AmericaFrontccc.jpg,2008-05-08,8.0,PC
2383,Everything,Double Fine Presents,/games/boxart/full_2162961AmericaFrontccc.jpg,2017-04-21,8.0,PC
2384,Evil Genius 2 World Domination,Rebellion,/games/boxart/full_6940059AmericaFrontccc.jpg,2020-12-01,7.5,PC
2389,Evochron Mercenary,Unknown,/games/boxart/full_evochron-mercenary_180AmericaFront.jpg,2010-09-17,7.0,PC
2390,Evoland,Shiro Games,/games/boxart/full_4700522AmericaFrontccc.jpg,2013-04-04,6.1,PC
2391,Evoland 2,Shiro Games,/games/boxart/full_8314116AmericaFrontccc.jpg,2015-08-25,7.6,PC
2393,Evolution: The Video Game,North Star Games,/games/boxart/full_2765245AmericaFrontccc.jpg,2019-02-12,6.8,PC
2394,Evolve,2K Games,/games/boxart/full_3121309AmericaFrontccc.jpg,2015-02-10,7.6,"PS4, XOne, PC"
2397,Exception,Traxmaster Software,/games/boxart/full_5802300AmericaFrontccc.jpg,2019-08-13,7.1,"XOne, PS4, PC, NS"
2398,Exist Archive: The Other Side of the Sky,Aksys Games,/games/boxart/full_126580AmericaFrontccc.jpg,2016-10-18,6.9,PS4
2403,Expeditions: Conquistador,THQ Nordic,/games/boxart/full_957019AmericaFrontccc.jpg,2013-05-30,7.7,PC
2405,Extinction,Maximum Games,/games/boxart/full_8437650AmericaFrontccc.jpg,2018-04-10,4.0,"PC, XOne, PS4"
2409,EyePet,Sony Computer Entertainment,/games/boxart/full_eyepet_3AmericaFront.jpg,2010-09-17,6.9,PS3
2410,EyePet & Friends,Sony Computer Entertainment,/games/boxart/full_5986026AmericaFrontccc.jpg,2011-11-15,6.5,PS3
2411,F.E.A.R. 2: Project Origin,Warner Bros. Interactive,/games/boxart/full_2073728AmericaFrontccc.jpg,2009-02-10,8.1,"X360, PC, PS3"
2412,F.E.A.R. 2: Reborn,Warner Bros. Interactive,/games/boxart/full_fear-2-reborn_24AmericaFront.jpg,2009-09-03,5.7,PC
2413,F.E.A.R. 3,Warner Bros. Interactive,/games/boxart/full_fear-3_171AmericaFront.jpg,2011-06-21,7.7,"PC, X360, PS3"
2414,F.I.S.T.,Sony Computer Entertainment,/games/boxart/full_3266551AmericaFrontccc.jpg,2020-12-01,5.4,PS4
2415,F1 2009,Codemasters,/games/boxart/full_5668768AmericaFrontccc.jpg,2009-11-17,6.9,PS3
2416,F1 2010,Codemasters,/games/boxart/full_f1-2010_3AmericaFront.jpg,2010-09-21,8.3,"X360, PS3, PC"
2417,F1 2011,Codemasters,/games/boxart/full_f1-2011_231AmericaFront.jpg,2011-09-19,8.3,"PC, X360, PS3"
2418,F1 2012,Codemasters,/games/boxart/full_7813119AmericaFrontccc.jpg,2012-09-18,8.4,"PS3, PC, X360"
2419,F1 2013,Codemasters,/games/boxart/full_1680609PALFrontccc.jpg,2013-10-08,7.8,"PS3, PC, X360"
2420,F1 2014,Codemasters,/games/boxart/full_8817342AmericaFrontccc.jpg,2014-10-21,6.5,"X360, PC, PS3"
2421,F1 2015,Codemasters,/games/boxart/full_9678556AmericaFrontccc.jpg,2015-07-21,5.8,"XOne, PC, PS4"
2422,F1 2016,Codemasters,/games/boxart/full_4470358PALFrontccc.jpg,2016-08-19,8.4,"XOne, PC, PS4"
2423,F1 2017,Deep Silver,/games/boxart/full_3670653AmericaFrontccc.jpg,2017-08-25,8.5,"PS4, XOne, PC"
2424,F1 2018,Codemasters,/games/boxart/full_8045951PALFrontccc.jpg,2018-08-24,8.7,"PC, XOne, PS4"
2425,F1 2019,Codemasters,/games/boxart/full_3173536AmericaFrontccc.jpg,2019-06-28,8.8,"XOne, PS4, PC"
2426,F1 2020,Codemasters,/games/boxart/full_1594266AmericaFrontccc.jpg,2020-07-10,9.0,"XOne, PS4, PC"
2427,F1 2021,Codemasters,/games/boxart/full_7600232AmericaFrontccc.jpg,2021-07-13,8.4,"PS5, PS4"
2428,F1 22,Codemasters,/games/boxart/full_5446413AmericaFrontccc.jpg,2022-07-01,7.5,"PS5, XOne, XS"
2429,F1 23,Electronic Arts,/games/boxart/full_2409052AmericaFrontccc.jpg,2023-06-13,8.2,PC
2430,F1 Race Stars,Codemasters,/games/boxart/full_7466798AmericaFrontccc.jpg,2012-11-13,6.4,"X360, PS3, PC"
2431,FAR: Lone Sails,Mixtvision,/games/boxart/full_6099285AmericaFrontccc.jpg,2018-05-17,8.0,"PC, XOne, PS4, NS"
2433,FIFA 14,EA Sports,/games/boxart/full_6590731AmericaFrontccc.jpg,2013-09-24,8.4,"X360, PS3, PC, PS4, XOne"
2434,FIFA 15,EA Sports,/games/boxart/full_7298854PALFrontccc.jpg,2014-09-23,7.4,"X360, XOne, PS4, PC, PS3"
2435,FIFA 16,EA Sports,/games/boxart/full_8789149AmericaFrontccc.jpg,2015-09-22,8.7,"XOne, PS3, PC, PS4, X360"
2436,FIFA 17,Electronic Arts,/games/boxart/full_9060196AmericaFrontccc.jpg,2016-09-27,8.9,"XOne, X360, PC, PS4, PS3"
2437,FIFA 18,EA Sports,/games/boxart/full_8115483PALFrontccc.jpg,2017-09-29,7.5,"X360, PS4, PC, XOne, PS3, NS"
2438,FIFA 19,Electronic Arts,/games/boxart/full_7629243AmericaFrontccc.jpg,2018-09-28,5.9,"NS, PS4, PS3, PC, X360, XOne"
2439,FIFA 20,EA Sports,/games/boxart/full_584189AmericaFrontccc.jpg,2019-09-27,7.9,"XOne, PC, PS4, NS"
2440,FIFA 21,Electronic Arts,/games/boxart/full_4739211AmericaFrontccc.jpg,2020-10-09,7.2,"NS, PS4, PC, XOne, XS, PS5"
2441,FIFA Manager 09,Electronic Arts,/games/boxart/full_1671373PALFrontccc.jpg,2008-10-31,6.9,PC
2442,FIFA Manager 10,EA Sports,/games/boxart/full_7367735PALFrontccc.jpg,2009-10-30,7.5,PC
2443,FIFA Manager 11,Electronic Arts,/games/boxart/full_fifa-manager-11_112PALFront.jpg,2010-11-03,7.5,PC
2444,FIFA Manager 12,Electronic Arts,/games/boxart/full_fifa-manager-12_876PALFront.jpg,2011-10-18,7.2,PC
2445,FIFA Soccer 09,Electronic Arts,/games/boxart/5622818ccc.jpg,2008-10-14,8.6,"PS3, PC, X360"
2446,FIFA Soccer 10,EA Sports,/games/boxart/full_8778712PALFrontccc.jpg,2009-10-02,9.0,"PC, X360, PS3"
2447,FIFA Soccer 11,EA Sports,/games/boxart/full_fifa-soccer-11_9PALFront.jpg,2010-09-28,8.6,"PC, PS3, X360"
2448,FIFA Soccer 12,EA Sports,/games/boxart/full_fifa-soccer-12_845AmericaFront.jpg,2011-09-27,9.2,"X360, PS3, PC"
2449,FIFA Street (2012),EA Sports,/games/boxart/full_5908073AmericaFrontccc.jpg,2012-03-13,7.7,"PS3, X360"
2450,FIFA Street 3,EA Sports BIG,/games/boxart/2639998ccc.jpg,2008-02-18,6.3,"PS3, X360"
2451,FORCED,BetaDwarf,/games/boxart/full_7964898AmericaFrontccc.jpg,2013-10-24,7.2,"PC, XOne, X360, PS3"
2452,FOX n FORESTS,EuroVideo Medien,/games/boxart/full_9945465AmericaFrontccc.jpg,2018-05-17,6.6,PC
2453,FRU,Through Games,/games/boxart/full_459688AmericaFrontccc.jpeg,2016-07-13,8.4,XOne
2454,FTL: Faster Than Light,Unknown,/games/boxart/full_7036307PALFrontccc.png,2012-09-14,8.6,PC
2457,Fable Anniversary,Microsoft Studios,/games/boxart/full_6709635AmericaFrontccc.jpg,2014-02-04,6.8,"X360, PC"
